team1,team2,date,year,time,place,toss_winner,toss_decision,winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
5,1,27-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",1,bowl,Deccan Chargers,1,1,,,10,48
2,9,19-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Newlands, Cape Town",2,bowl,Delhi Capitals,2,1,,,10,7
3,4,18-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,10,56
5,4,20-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Rajasthan Royals,4,0,,,10,
4,5,20-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Mumbai Indians,5,0,,,10,
9,6,10-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",6,bowl,Chennai Super Kings,6,1,,,10,
2,3,26-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",3,bowl,Royal Challengers Bangalore,3,1,,,10,
13,7,21-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",7,bowl,Sunrisers Hyderabad,7,1,,,10,
13,8,7-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",8,bowl,Kolkata Knight Riders,8,1,,,10,
9,2,30-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,10,
9,3,14-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",3,bowl,Royal Challengers Bangalore,3,1,,,10,
2,4,19-Apr-08,2008,03:00 PM GMT / 08:30 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bat,Delhi Capitals,2,0,,,9,29
1,2,22-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bat,Delhi Capitals,2,0,,,9,42
6,8,26-Apr-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",8,bat,Chennai Super Kings,6,0,,,9,18
9,3,12-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,bat,Kings XI Punjab,9,0,,,9,26
5,6,14-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,9,37
3,5,28-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Mumbai Indians,5,1,,,9,12
6,9,31-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",9,bat,Chennai Super Kings,6,0,,,9,31
3,5,3-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",5,bat,Royal Challengers Bangalore,3,0,,,9,11
2,8,5-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",8,bat,Delhi Capitals,2,0,,,9,6
4,9,7-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",9,bat,Rajasthan Royals,4,0,,,9,30
6,8,13-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",8,bat,Chennai Super Kings,6,0,,,9,39
8,5,19-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",5,bat,Kolkata Knight Riders,8,0,,,9,15
3,1,24-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",1,bat,Royal Challengers Bangalore,3,0,,,9,37
3,5,12-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Mumbai Indians,5,1,,,9,
4,8,15-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",8,bowl,Kolkata Knight Riders,8,1,,,9,
8,3,22-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",3,bowl,Royal Challengers Bangalore,3,1,,,9,
3,11,8-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",11,bat,Royal Challengers Bangalore,3,0,,,9,
4,3,11-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",3,bowl,Royal Challengers Bangalore,3,1,,,9,
5,3,9-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",3,bowl,Royal Challengers Bangalore,3,1,,,9,
1,2,10-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bat,Delhi Capitals,2,0,,,9,
6,2,12-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Chennai Super Kings,6,1,,,9,
2,5,21-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",5,bat,Delhi Capitals,2,0,,,9,
4,2,7-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",2,bat,Rajasthan Royals,4,0,,,9,
9,8,11-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",8,bowl,Kolkata Knight Riders,8,1,,,9,
4,3,24-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",3,bowl,Royal Challengers Bangalore,3,1,,,9,
2,9,1-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,9,
7,5,17-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Mumbai Indians,5,0,,,9,
5,10,9-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Rising Pune Supergiants,10,0,,,9,
8,2,10-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,9,
8,3,16-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",3,bowl,Royal Challengers Bangalore,3,1,,,9,
7,13,9-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,9,
10,9,14-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Rising Pune Supergiants,10,1,,,9,
7,4,9-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,9,
8,9,21-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",9,bowl,Kings XI Punjab,9,1,,,9,
2,7,10-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Sunrisers Hyderabad,7,0,,,9,
7,8,21-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,9,
5,8,5-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,9,
6,2,2-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Delhi Capitals,2,0,,,8,6
4,6,4-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",6,bat,Rajasthan Royals,4,0,,,8,34
4,1,9-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,8,24
5,8,16-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,8,87
1,8,19-Apr-09,2009,04:50 PM GMT / 06:50 PM LOCAL,"Newlands, Cape Town",8,bat,Deccan Chargers,1,0,,,8,41
9,5,12-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",9,bat,Mumbai Indians,5,0,,,8,22
3,9,16-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bat,Royal Challengers Bangalore,3,0,,,8,7
4,1,26-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",1,bat,Rajasthan Royals,4,0,,,8,26
8,9,4-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kings XI Punjab,9,0,,,8,10
8,4,17-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",4,bat,Kolkata Knight Riders,8,0,,,8,23
1,4,9-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",4,bowl,Rajasthan Royals,4,1,,,8,
2,5,10-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Mumbai Indians,5,0,,,8,
5,11,15-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",11,bowl,Kochi Tuskers Kerala,11,1,,,8,
1,9,16-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bowl,Kings XI Punjab,9,1,,,8,
8,4,17-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,8,
4,11,24-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,8,
12,6,27-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",12,bat,Chennai Super Kings,6,0,,,8,
8,9,30-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,8,
6,4,4-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",4,bat,Chennai Super Kings,6,0,,,8,
11,4,15-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",11,bowl,Kochi Tuskers Kerala,11,1,,,8,
3,6,22-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,8,
6,5,4-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",5,bowl,Mumbai Indians,5,1,,,8,
8,2,5-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",2,bowl,Delhi Capitals,2,1,,,8,
2,6,10-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,8,
9,8,18-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Kolkata Knight Riders,8,0,,,8,
12,2,24-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bat,Delhi Capitals,2,0,,,8,
12,9,7-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bat,Kings XI Punjab,9,0,,,8,
3,8,11-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,8,
4,7,27-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",7,bat,Rajasthan Royals,4,0,,,8,
8,4,3-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",4,bat,Kolkata Knight Riders,8,0,,,8,
9,4,9-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,bowl,Rajasthan Royals,4,1,,,8,
2,3,17-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",3,bowl,Royal Challengers Bangalore,3,1,,,8,
2,6,5-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",6,bowl,Chennai Super Kings,6,1,,,8,
2,8,7-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Kolkata Knight Riders,8,0,,,8,
2,7,10-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",7,bowl,Sunrisers Hyderabad,7,1,,,8,
8,6,20-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,8,
3,6,24-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",6,bowl,Chennai Super Kings,6,1,,,8,
3,7,13-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",7,bowl,Sunrisers Hyderabad,7,1,,,8,
4,6,19-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",6,bat,Rajasthan Royals,4,0,,,8,
2,9,15-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,8,
7,8,16-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Kolkata Knight Riders,8,0,,,8,
10,5,1-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",5,bowl,Mumbai Indians,5,1,,,8,
13,2,3-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",2,bowl,Delhi Capitals,2,1,,,8,
8,10,14-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",10,bat,Kolkata Knight Riders,8,0,,,8,
9,3,10-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",3,bat,Kings XI Punjab,9,0,,,8,
8,9,13-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,8,
9,5,20-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",5,bowl,Mumbai Indians,5,1,,,8,
13,7,13-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Green Park, Kanpur",7,bowl,Sunrisers Hyderabad,7,1,,,8,
6,5,28-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",5,bowl,Mumbai Indians,5,1,,,8,
6,7,13-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",6,bowl,Chennai Super Kings,6,1,,,8,
6,7,27-May-18,2018,01:30 PM GMT / 07:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,8,
9,5,30-Mar-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,8,
4,8,7-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",8,bowl,Kolkata Knight Riders,8,1,,,8,
9,3,13-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,bowl,Royal Challengers Bangalore,3,1,,,8,
3,4,26-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",4,bowl,Rajasthan Royals,4,1,,,7,17
8,5,29-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Mumbai Indians,5,0,,,7,8
1,9,1-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bowl,Kings XI Punjab,9,1,,,7,7
6,1,6-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",1,bowl,Deccan Chargers,1,1,,,7,12
5,4,7-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",5,bowl,Mumbai Indians,5,1,,,7,29
1,6,27-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bat,Chennai Super Kings,6,0,,,7,4
3,9,24-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",3,bat,Kings XI Punjab,9,0,,,7,6
3,4,7-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",4,bowl,Rajasthan Royals,4,1,,,7,30
2,5,8-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Buffalo Park, East London",5,bat,Delhi Capitals,2,0,,,7,7
6,4,9-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Diamond Oval, Kimberley",4,bat,Chennai Super Kings,6,0,,,7,10
2,8,10-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",2,bowl,Delhi Capitals,2,1,,,7,17
6,5,16-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",5,bat,Chennai Super Kings,6,0,,,7,5
6,8,18-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",6,bat,Kolkata Knight Riders,8,0,,,7,0
3,2,19-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"The Wanderers Stadium, Johannesburg",2,bat,Royal Challengers Bangalore,3,0,,,7,6
8,3,14-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,7,4
5,3,20-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",5,bat,Royal Challengers Bangalore,3,0,,,7,5
5,8,22-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",8,bat,Mumbai Indians,5,0,,,7,9
3,1,8-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",1,bowl,Deccan Chargers,1,1,,,7,4
3,8,10-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,7,17
2,9,11-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Kings XI Punjab,9,0,,,7,8
12,9,10-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",9,bat,Pune Warriors,12,0,,,7,
11,6,18-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Nehru Stadium, Kochi",11,bowl,Kochi Tuskers Kerala,11,1,,,7,
5,12,20-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",12,bat,Mumbai Indians,5,0,,,7,
4,5,29-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,7,
2,11,2-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",11,bowl,Kochi Tuskers Kerala,11,1,,,7,
12,8,19-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",8,bowl,Kolkata Knight Riders,8,1,,,7,
9,12,12-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,7,
12,6,14-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",6,bat,Pune Warriors,12,0,,,7,
5,2,16-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bowl,Delhi Capitals,2,1,,,7,
6,4,21-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",4,bat,Chennai Super Kings,6,0,,,7,
12,4,8-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bat,Rajasthan Royals,4,0,,,7,
3,7,9-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",7,bat,Royal Challengers Bangalore,3,0,,,7,
12,4,11-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",4,bat,Pune Warriors,12,0,,,7,
3,4,20-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,7,
9,12,21-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,7,
7,5,1-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",5,bat,Sunrisers Hyderabad,7,0,,,7,
2,8,1-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",8,bat,Delhi Capitals,2,0,,,7,
5,7,13-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",7,bat,Mumbai Indians,5,0,,,7,
3,9,14-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Kings XI Punjab,9,1,,,7,
3,5,19-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",3,bowl,Royal Challengers Bangalore,3,1,,,7,
4,9,20-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",9,bowl,Kings XI Punjab,9,1,,,7,
6,5,25-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",5,bat,Chennai Super Kings,6,0,,,7,
2,4,3-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bowl,Rajasthan Royals,4,1,,,7,
7,5,12-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Mumbai Indians,5,0,,,7,
7,8,18-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Kolkata Knight Riders,8,0,,,7,
7,3,20-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bat,Sunrisers Hyderabad,7,0,,,7,
9,5,21-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,bowl,Mumbai Indians,5,1,,,7,
