team1,team2,date,year,time,place,toss_winner,toss_decision,winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
9,2,25-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,7,
6,5,28-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,7,
8,5,8-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,7,
4,5,14-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",5,bat,Rajasthan Royals,4,0,,,7,
8,6,30-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,7,
3,8,2-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,7,
9,6,16-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Chennai Super Kings,6,0,,,7,
13,10,14-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",10,bat,Gujarat Lions,13,0,,,7,
3,2,17-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",2,bowl,Delhi Capitals,2,1,,,7,
7,5,18-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,7,
2,10,5-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",10,bowl,Rising Pune Supergiants,10,1,,,7,
3,10,7-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,7,
7,2,12-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",2,bowl,Delhi Capitals,2,1,,,7,
5,9,13-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",5,bat,Kings XI Punjab,9,0,,,7,
9,7,15-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Sunrisers Hyderabad,7,0,,,7,
10,5,6-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Rising Pune Supergiants,10,1,,,7,
13,10,14-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",13,bowl,Gujarat Lions,13,1,,,7,
10,8,26-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",8,bowl,Kolkata Knight Riders,8,1,,,7,
3,13,27-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",13,bowl,Gujarat Lions,13,1,,,7,
8,2,28-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,7,
2,13,4-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,7,
7,5,8-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",5,bat,Sunrisers Hyderabad,7,0,,,7,
7,8,17-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",8,bowl,Kolkata Knight Riders,8,1,,,7,
5,2,14-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bowl,Delhi Capitals,2,1,,,7,
4,8,18-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",8,bowl,Kolkata Knight Riders,8,1,,,7,
7,2,5-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",2,bat,Sunrisers Hyderabad,7,0,,,7,
5,4,13-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",4,bowl,Rajasthan Royals,4,1,,,7,
6,3,23-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Chennai Super Kings,6,1,,,7,
4,3,2-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,7,
6,8,9-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Chennai Super Kings,6,1,,,7,
8,2,12-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",2,bowl,Delhi Capitals,2,1,,,7,
4,7,27-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,7,
9,8,3-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",8,bowl,Kolkata Knight Riders,8,1,,,7,
4,9,21-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",9,bat,Rajasthan Royals,4,0,,,6,11
3,9,5-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Kings XI Punjab,9,1,,,6,10
8,4,20-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",4,bowl,Rajasthan Royals,4,1,,,6,21
9,1,23-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,6,3
3,2,26-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",3,bat,Delhi Capitals,2,0,,,6,4
6,1,27-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",1,bowl,Deccan Chargers,1,1,,,6,3
1,2,30-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",2,bowl,Delhi Capitals,2,1,,,6,8
9,8,3-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",8,bat,Kings XI Punjab,9,0,,,6,0
3,8,12-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",3,bowl,Royal Challengers Bangalore,3,1,,,6,4
2,9,15-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Mangaung Oval, Bloemfontein",9,bowl,Kings XI Punjab,9,1,,,6,5
1,8,16-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",1,bowl,Deccan Chargers,1,1,,,6,0
2,1,22-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",1,bowl,Deccan Chargers,1,1,,,6,14
3,6,23-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"The Wanderers Stadium, Johannesburg",3,bowl,Royal Challengers Bangalore,3,1,,,6,7
4,2,15-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",2,bowl,Delhi Capitals,2,1,,,6,17
9,3,2-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Royal Challengers Bangalore,3,0,,,6,5
9,5,9-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,bat,Kings XI Punjab,9,0,,,6,4
1,6,10-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",6,bat,Deccan Chargers,1,0,,,6,5
6,2,15-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Delhi Capitals,2,0,,,6,8
9,6,18-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",6,bowl,Chennai Super Kings,6,1,,,6,2
11,3,9-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Nehru Stadium, Kochi",11,bat,Royal Challengers Bangalore,3,0,,,6,
4,2,12-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",2,bat,Rajasthan Royals,4,0,,,6,
9,6,13-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,6,
4,12,1-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,6,
1,12,10-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bat,Pune Warriors,12,0,,,6,
11,9,13-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",9,bowl,Kings XI Punjab,9,1,,,6,
12,1,16-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",1,bowl,Deccan Chargers,1,1,,,6,
3,6,24-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,6,
3,12,17-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",12,bat,Royal Challengers Bangalore,3,0,,,6,
5,9,22-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Kings XI Punjab,9,0,,,6,
4,2,1-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Delhi Capitals,2,0,,,6,
2,8,7-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Kolkata Knight Riders,8,0,,,6,
9,6,17-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,bowl,Kings XI Punjab,9,1,,,6,
9,2,19-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,bowl,Delhi Capitals,2,1,,,6,
8,2,3-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,6,
4,9,14-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,6,
8,9,26-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",9,bat,Kolkata Knight Riders,8,0,,,6,
7,2,4-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",2,bat,Sunrisers Hyderabad,7,0,,,6,
9,3,6-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,6,
6,9,18-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",6,bat,Kings XI Punjab,9,0,,,6,
4,3,26-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",4,bowl,Rajasthan Royals,4,1,,,6,
2,5,27-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",5,bat,Delhi Capitals,2,0,,,6,
7,9,14-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bowl,Kings XI Punjab,9,1,,,6,
8,5,14-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",8,bowl,Kolkata Knight Riders,8,1,,,6,
6,7,22-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",7,bowl,Sunrisers Hyderabad,7,1,,,6,
7,4,16-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,bowl,Rajasthan Royals,4,1,,,6,
5,6,17-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Chennai Super Kings,6,0,,,6,
2,8,20-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",8,bowl,Kolkata Knight Riders,8,1,,,6,
6,5,8-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Mumbai Indians,5,0,,,6,
2,6,12-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",6,bat,Delhi Capitals,2,0,,,6,
7,3,15-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Royal Challengers Bangalore,3,0,,,6,
8,5,13-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",5,bowl,Mumbai Indians,5,1,,,6,
9,10,17-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",10,bat,Kings XI Punjab,9,0,,,6,
9,8,19-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",8,bowl,Kolkata Knight Riders,8,1,,,6,
5,3,20-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,6,
13,3,24-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",3,bat,Gujarat Lions,13,0,,,6,
5,8,28-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,6,
3,5,11-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Mumbai Indians,5,1,,,6,
13,8,19-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Green Park, Kanpur",13,bowl,Gujarat Lions,13,1,,,6,
2,7,20-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",2,bowl,Delhi Capitals,2,1,,,6,
13,5,21-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Green Park, Kanpur",13,bowl,Gujarat Lions,13,1,,,6,
2,3,22-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",3,bowl,Royal Challengers Bangalore,3,1,,,6,
9,10,8-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Holkar Cricket Stadium, Indore",9,bowl,Kings XI Punjab,9,1,,,6,
5,13,16-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,6,
10,7,22-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Rising Pune Supergiants,10,1,,,6,
2,7,2-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,6,
3,8,7-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",8,bowl,Kolkata Knight Riders,8,1,,,6,
9,13,7-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",13,bowl,Gujarat Lions,13,1,,,6,
5,8,19-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Mumbai Indians,5,1,,,6,
9,2,8-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,6,
3,2,21-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,6,
3,8,29-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",8,bowl,Kolkata Knight Riders,8,1,,,6,
8,6,3-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,6,
9,5,4-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",5,bowl,Mumbai Indians,5,1,,,6,
6,3,5-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",6,bowl,Chennai Super Kings,6,1,,,6,
9,4,6-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",9,bowl,Kings XI Punjab,9,1,,,6,
8,4,15-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,6,
8,7,24-Mar-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,6,
2,6,26-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Chennai Super Kings,6,0,,,6,
9,7,8-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,6,
7,6,17-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",6,bat,Sunrisers Hyderabad,7,0,,,6,
4,2,22-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",2,bowl,Delhi Capitals,2,1,,,6,
6,7,23-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Chennai Super Kings,6,1,,,6,
9,6,5-May-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Kings XI Punjab,9,1,,,6,
5,6,7-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Mumbai Indians,5,0,,,6,
6,2,10-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",6,bowl,Chennai Super Kings,6,1,,,6,
8,1,20-Apr-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",1,bat,Kolkata Knight Riders,8,0,,,5,6
5,3,20-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Royal Challengers Bangalore,3,0,,,5,2
3,2,19-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",2,bowl,Delhi Capitals,2,1,,,5,10
2,5,24-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,5,1
1,3,25-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bat,Royal Challengers Bangalore,3,0,,,5,6
4,5,26-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,5,0
2,4,28-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",2,bat,Rajasthan Royals,4,0,,,5,9
3,8,29-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",8,bat,Royal Challengers Bangalore,3,0,,,5,1
9,2,13-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,bowl,Delhi Capitals,2,1,,,5,1
2,6,19-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Chennai Super Kings,6,0,,,5,5
5,6,25-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,5,6
6,3,31-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",3,bat,Chennai Super Kings,6,0,,,5,7
4,3,14-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Royal Challengers Bangalore,3,0,,,5,26
9,1,16-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,bowl,Deccan Chargers,1,1,,,5,5
9,12,8-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Pune Warriors,12,0,,,5,
8,5,22-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",5,bowl,Mumbai Indians,5,1,,,5,
1,5,9-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,bat,Mumbai Indians,5,0,,,5,
6,3,12-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",3,bat,Chennai Super Kings,6,0,,,5,
8,4,13-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",4,bat,Kolkata Knight Riders,8,0,,,5,
4,1,17-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",1,bat,Rajasthan Royals,4,0,,,5,
2,1,19-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",1,bat,Delhi Capitals,2,0,,,5,
9,3,20-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,bowl,Royal Challengers Bangalore,3,1,,,5,
1,8,22-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",8,bowl,Kolkata Knight Riders,8,1,,,5,
5,1,29-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,5,
6,8,30-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Kolkata Knight Riders,8,0,,,5,
3,1,6-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,5,
3,5,14-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Mumbai Indians,5,1,,,5,
8,6,14-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",6,bowl,Chennai Super Kings,6,1,,,5,
2,9,15-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",9,bat,Delhi Capitals,2,0,,,5,
1,4,18-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",4,bat,Deccan Chargers,1,0,,,5,
6,8,27-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Kolkata Knight Riders,8,0,,,5,
