team1,team2,date,year,time,place,toss_winner,toss_decision,winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
7,9,19-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",9,bat,Sunrisers Hyderabad,7,0,,,5,
6,4,22-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",4,bat,Chennai Super Kings,6,0,,,5,
2,9,23-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",9,bowl,Kings XI Punjab,9,1,,,5,
8,5,24-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Mumbai Indians,5,0,,,5,
6,7,25-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",7,bat,Chennai Super Kings,6,0,,,5,
4,12,5-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",12,bat,Rajasthan Royals,4,0,,,5,
12,5,11-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bat,Mumbai Indians,5,0,,,5,
8,3,12-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",8,bowl,Kolkata Knight Riders,8,1,,,5,
4,6,12-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,5,
7,8,19-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",8,bat,Sunrisers Hyderabad,7,0,,,5,
7,6,27-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",7,bat,Chennai Super Kings,6,0,,,5,
9,3,28-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",9,bowl,Kings XI Punjab,9,1,,,5,
5,9,3-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",9,bat,Mumbai Indians,5,0,,,5,
3,4,11-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bat,Rajasthan Royals,4,0,,,5,
6,4,13-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",4,bat,Chennai Super Kings,6,0,,,5,
6,3,18-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",6,bat,Royal Challengers Bangalore,3,0,,,5,
5,4,25-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,5,
9,2,15-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",9,bat,Delhi Capitals,2,0,,,5,
5,2,5-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bat,Mumbai Indians,5,0,,,5,
9,13,11-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",13,bowl,Gujarat Lions,13,1,,,5,
7,9,23-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,5,
3,8,2-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",8,bowl,Kolkata Knight Riders,8,1,,,5,
7,13,6-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,5,
8,13,8-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",13,bowl,Gujarat Lions,13,1,,,5,
5,3,1-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",3,bat,Mumbai Indians,5,0,,,5,
10,13,1-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Rising Pune Supergiants,10,1,,,5,
6,8,10-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Chennai Super Kings,6,1,,,5,
8,7,14-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",7,bowl,Sunrisers Hyderabad,7,1,,,5,
3,6,25-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",6,bowl,Chennai Super Kings,6,1,,,5,
2,3,12-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",3,bowl,Royal Challengers Bangalore,3,1,,,5,
7,8,19-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Kolkata Knight Riders,8,0,,,5,
6,9,20-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",6,bowl,Chennai Super Kings,6,1,,,5,
7,4,29-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",4,bat,Sunrisers Hyderabad,7,0,,,5,
2,7,4-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",7,bowl,Sunrisers Hyderabad,7,1,,,5,
3,8,5-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",8,bowl,Kolkata Knight Riders,8,1,,,5,
8,6,14-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",6,bowl,Chennai Super Kings,6,1,,,5,
5,3,15-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,5,
4,5,20-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,5,
2,9,20-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Delhi Capitals,2,1,,,5,
2,4,4-May-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bat,Delhi Capitals,2,0,,,5,
9,2,27-Apr-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,bat,Kings XI Punjab,9,0,,,4,3
2,6,8-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",6,bowl,Chennai Super Kings,6,1,,,4,0
8,4,20-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",8,bowl,Kolkata Knight Riders,8,1,,,4,3
2,5,21-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",2,bowl,Delhi Capitals,2,1,,,4,15
5,9,30-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,4,3
12,11,13-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",11,bat,Pune Warriors,12,0,,,4,
1,2,5-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",2,bowl,Delhi Capitals,2,1,,,4,
3,8,14-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,4,
5,8,25-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,4,
9,5,25-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Mumbai Indians,5,0,,,4,
3,9,2-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Kings XI Punjab,9,1,,,4,
4,6,10-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",6,bowl,Chennai Super Kings,6,1,,,4,
9,1,13-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,bat,Kings XI Punjab,9,0,,,4,
6,3,13-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bowl,Chennai Super Kings,6,1,,,4,
8,6,20-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Chennai Super Kings,6,0,,,4,
4,3,29-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,4,
4,7,22-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",7,bat,Rajasthan Royals,4,0,,,4,
5,4,24-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",4,bat,Mumbai Indians,5,0,,,4,
7,4,18-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",4,bowl,Rajasthan Royals,4,1,,,4,
8,2,19-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",8,bat,Delhi Capitals,2,0,,,4,
3,7,4-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,4,
5,6,10-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,4,
2,9,19-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",9,bowl,Kings XI Punjab,9,1,,,4,
8,7,24-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,4,
9,8,18-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",8,bowl,Kolkata Knight Riders,8,1,,,4,
10,9,21-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",9,bat,Rising Pune Supergiants,10,0,,,4,
13,3,24-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,4,
13,7,27-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",7,bowl,Sunrisers Hyderabad,7,1,,,4,
5,8,9-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,4,
5,7,12-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,4,
3,5,14-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Mumbai Indians,5,1,,,4,
2,8,17-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Kolkata Knight Riders,8,0,,,4,
8,13,21-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",13,bowl,Gujarat Lions,13,1,,,4,
8,10,3-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",10,bowl,Rising Pune Supergiants,10,1,,,4,
8,3,8-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kolkata Knight Riders,8,1,,,4,
3,9,13-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,4,
4,6,11-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",6,bat,Rajasthan Royals,4,0,,,4,
3,2,7-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",2,bowl,Delhi Capitals,2,1,,,4,
4,6,11-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",6,bowl,Chennai Super Kings,6,1,,,4,
5,4,13-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",4,bowl,Rajasthan Royals,4,1,,,4,
3,7,4-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,,,4,
1,4,24-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",4,bowl,Rajasthan Royals,4,1,,,3,1
4,2,11-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Rajasthan Royals,4,1,,,3,5
8,9,25-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",9,bat,Kolkata Knight Riders,8,0,,,3,2
6,4,1-Jun-08,2008,02:45 PM GMT / 08:15 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",4,bowl,Rajasthan Royals,4,1,,,3,0
1,4,2-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",1,bat,Rajasthan Royals,4,0,,,3,2
1,9,9-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Diamond Oval, Kimberley",9,bowl,Kings XI Punjab,9,1,,,3,1
12,2,17-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",2,bowl,Delhi Capitals,2,1,,,3,
2,3,26-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",3,bowl,Royal Challengers Bangalore,3,1,,,3,
2,7,12-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Sunrisers Hyderabad,7,0,,,3,
8,9,1-Jun-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",8,bowl,Kolkata Knight Riders,8,1,,,3,
8,3,11-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",3,bowl,Royal Challengers Bangalore,3,1,,,3,
2,4,12-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bowl,Rajasthan Royals,4,1,,,3,
6,3,22-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",6,bowl,Chennai Super Kings,6,1,,,3,
5,13,16-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",13,bowl,Gujarat Lions,13,1,,,3,
10,13,29-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",13,bowl,Gujarat Lions,13,1,,,3,
4,5,22-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",5,bat,Rajasthan Royals,4,0,,,3,
5,9,10-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,3,
8,4,25-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",4,bowl,Rajasthan Royals,4,1,,,3,
3,6,14-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",6,bat,Royal Challengers Bangalore,3,0,,,2,2
5,6,6-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Mumbai Indians,5,1,,,2,
10,8,24-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",8,bowl,Kolkata Knight Riders,8,1,,,2,
13,2,10-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Green Park, Kanpur",2,bowl,Delhi Capitals,2,1,,,2,
7,6,22-May-18,2018,01:30 PM GMT / 07:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,2,
2,7,8-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,bowl,Delhi Capitals,2,1,,,2,
8,9,9-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",9,bat,Kolkata Knight Riders,8,0,,,1,
5,6,7-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Chennai Super Kings,6,1,,,1,
7,5,12-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Sunrisers Hyderabad,7,1,,,1,
3,8,18-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Kolkata Knight Riders,8,0,,140,,
9,6,19-Apr-08,2008,11:30 AM GMT / 05:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",6,bat,Chennai Super Kings,6,1,,33,,
6,5,23-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",5,bowl,Chennai Super Kings,6,0,,6,,
9,5,25-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,bowl,Kings XI Punjab,9,0,,66,,
3,6,28-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",6,bat,Chennai Super Kings,6,1,,13,,
2,3,30-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",3,bowl,Delhi Capitals,2,0,,10,,
4,8,1-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Rajasthan Royals,4,1,,45,,
3,1,3-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",1,bowl,Royal Challengers Bangalore,3,0,,3,,
9,8,3-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bat,Kings XI Punjab,9,1,,9,,
5,2,4-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",2,bowl,Mumbai Indians,5,0,,29,,
8,3,8-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kolkata Knight Riders,8,1,,5,,
6,9,10-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",9,bowl,Chennai Super Kings,6,0,,18,,
1,8,11-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",8,bat,Kolkata Knight Riders,8,1,,23,,
8,2,13-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kolkata Knight Riders,8,1,,23,,
2,1,15-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",1,bowl,Delhi Capitals,2,0,,12,,
4,3,17-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",3,bowl,Rajasthan Royals,4,0,,65,,
2,9,17-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Kings XI Punjab,9,0,,6,,
8,6,18-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Chennai Super Kings,6,0,,3,,
1,5,18-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bowl,Mumbai Indians,5,0,,25,,
5,9,21-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Kings XI Punjab,9,0,,,,
6,3,21-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",3,bat,Royal Challengers Bangalore,3,1,,14,,
6,4,24-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",4,bat,Rajasthan Royals,4,1,,10,,
9,4,28-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,bowl,Kings XI Punjab,9,0,,41,,
2,4,30-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bowl,Rajasthan Royals,4,0,,105,,
6,5,18-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Newlands, Cape Town",6,bowl,Mumbai Indians,5,0,,19,,
3,4,18-Apr-09,2009,03:10 PM GMT / 05:10 PM LOCAL,"Newlands, Cape Town",3,bat,Royal Challengers Bangalore,3,1,,75,,
3,6,20-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"St George's Park, Port Elizabeth",6,bat,Chennai Super Kings,6,1,,92,,
9,8,21-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",8,bowl,Kolkata Knight Riders,8,1,,11,,
3,1,22-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Newlands, Cape Town",1,bat,Deccan Chargers,1,1,,24,,
6,2,23-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",2,bat,Delhi Capitals,2,1,,9,,
8,4,23-Apr-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Newlands, Cape Town",8,bowl,Rajasthan Royals,4,0,1,,,
1,5,25-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",1,bat,Deccan Chargers,1,1,,12,,
9,4,26-Apr-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Newlands, Cape Town",9,bat,Kings XI Punjab,9,1,,27,,
8,5,27-Apr-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"St George's Park, Port Elizabeth",5,bat,Mumbai Indians,5,1,,92,,
9,5,29-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",9,bat,Kings XI Punjab,9,1,,3,,
6,4,30-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",4,bowl,Chennai Super Kings,6,0,,38,,
8,5,1-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Buffalo Park, East London",5,bat,Mumbai Indians,5,1,,9,,
3,9,1-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Kingsmead, Durban",3,bat,Royal Challengers Bangalore,3,1,,8,,
6,2,2-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",2,bowl,Chennai Super Kings,6,0,,18,,
6,1,4-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Buffalo Park, East London",6,bat,Chennai Super Kings,6,1,,78,,
9,4,5-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",9,bowl,Rajasthan Royals,4,0,,78,,
1,5,6-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",1,bat,Deccan Chargers,1,1,,19,,
6,9,7-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",6,bat,Chennai Super Kings,6,1,,12,,
3,5,10-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",5,bat,Mumbai Indians,5,1,,16,,
1,4,11-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Diamond Oval, Kimberley",1,bat,Deccan Chargers,1,1,,53,,
1,2,13-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",1,bowl,Delhi Capitals,2,0,,12,,
